trial_index,status,model_type,use_date_features,random_state,test_size,task_type,primary_metric,primary_value,secondary_metric,secondary_value
7,ok,gradient_boosting,True,42,0.2,classification,f1_macro,0.72242661,accuracy,0.89992628
3,ok,random_forest,True,123,0.2,classification,f1_macro,0.71486251,accuracy,0.90527092
1,ok,random_forest,True,42,0.2,classification,f1_macro,0.70972492,accuracy,0.90269075
4,ok,random_forest,True,42,0.15,classification,f1_macro,0.70495779,accuracy,0.90270270
2,ok,random_forest,True,77,0.2,classification,f1_macro,0.70171522,accuracy,0.89955769
5,ok,random_forest,True,42,0.25,classification,f1_macro,0.70148502,accuracy,0.90327337
6,ok,extra_trees,True,42,0.2,classification,f1_macro,0.67720644,accuracy,0.89568743
10,ok,extra_trees,True,42,0.2,classification,f1_macro,0.67519069,accuracy,0.89513454
8,ok,linear_baseline,True,42,0.2,classification,f1_macro,0.65288622,accuracy,0.89163288
9,ok,random_forest,True,42,0.2,classification,f1_macro,0.65197067,accuracy,0.89863620
