trial_index,status,model_type,n_estimators,use_date_features,random_state,test_size,task_type,primary_metric,primary_value,secondary_metric,secondary_value
10,ok,extra_trees,500,True,42,0.2,classification,f1_macro,0.60266642,accuracy,0.77800000
6,ok,extra_trees,300,True,42,0.2,classification,f1_macro,0.59534963,accuracy,0.77514286
7,ok,gradient_boosting,300,True,42,0.2,classification,f1_macro,0.58988905,accuracy,0.80114286
1,ok,random_forest,300,True,42,0.2,classification,f1_macro,0.58929290,accuracy,0.79800000
2,ok,random_forest,300,True,77,0.2,classification,f1_macro,0.58554085,accuracy,0.79514286
5,ok,random_forest,300,True,42,0.25,classification,f1_macro,0.58335535,accuracy,0.79565714
4,ok,random_forest,300,True,42,0.15,classification,f1_macro,0.58061249,accuracy,0.79733333
3,ok,random_forest,300,True,123,0.2,classification,f1_macro,0.56521018,accuracy,0.78828571
8,ok,linear_baseline,-,True,42,0.2,classification,f1_macro,0.56086213,accuracy,0.79542857
9,ok,random_forest,-,True,42,0.2,classification,f1_macro,0.50638250,accuracy,0.79342857
