id,loan_amnt,term,interest_rate,grade,employment_length,purpose,credit_score,application_type,loan_status
0,1256.7108,5 years,10.60377869,B1,5 years,debt_consolidation,680.4317659,Individual,0
1,569.5596067,3 years,17.30556544,C5,3 years,house,713.0631282,Individual,0
2,1118.83805,3 years,14.04134157,C3,2 years,debt_consolidation,696.137378,Individual,1
3,610.7217277,3 years,13.04834802,C2,5 years,medical,656.3730904,Individual,0
4,1180.02684,3 years,11.38486247,B3,10 years,debt_consolidation,657.211233,Individual,0
5,1172.219819,3 years,11.39718304,B3,5 years,debt_consolidation,712.157342,Joint App,0
6,2433.646304,3 years,10.10181044,B3,10 years,debt_consolidation,713.2019707,Individual,0
7,1021.9603,5 years,18.09302821,D4,4 years,debt_consolidation,658.2994753,Individual,0
8,1200.74142,5 years,11.0905065,B1,7 years,debt_consolidation,771.9640874,Individual,0
9,1731.132899,5 years,17.73240798,D3,4 years,debt_consolidation,657.732889,Individual,1
10,3517.81442,5 years,17.67489417,D3,5 years,debt_consolidation,675.9959048,Individual,0
11,1138.61238,3 years,13.83419115,C1,10 years,debt_consolidation,658.2411451,Individual,0
12,1493.010459,3 years,6.884324802,A1,0 years,credit_card,722.4684121,Joint App,0
13,1138.156973,3 years,14.2537142,C5,6 years,house,727.7930126,Individual,0
14,1216.649361,3 years,14.85282714,C5,10 years,credit_card,681.0775638,Individual,0
15,1117.901967,3 years,11.13501505,B2,9 years,debt_consolidation,678.455296,Individual,0
16,1200.108241,3 years,13.53819052,C2,10 years,debt_consolidation,661.8360037,Joint App,1
17,3347.320281,3 years,18.14503372,C5,6 years,house,658.7728397,Individual,0
18,607.8591359,5 years,13.91814021,A3,3 years,other,711.4747089,Individual,0
19,1084.770085,3 years,13.34123386,C1,6 years,debt_consolidation,680.3856589,Individual,1
20,588.796192,3 years,11.84229441,B4,3 years,credit_card,658.5515223,Individual,0
21,3305.292017,3 years,10.53674638,B2,10 years,debt_consolidation,729.7285224,Joint App,0
22,1043.372181,3 years,6.276508049,A1,0 years,debt_consolidation,716.9506951,Individual,0
23,2162.669838,5 years,7.199168703,A5,2 years,credit_card,672.5360141,Individual,0
24,2441.04673,5 years,23.40934748,D3,3 years,debt_consolidation,667.2449015,Joint App,0
25,1601.529052,3 years,5.765244763,A2,3 years,debt_consolidation,728.2410101,Individual,0
26,1573.489614,5 years,18.43572911,C5,6 years,debt_consolidation,659.4292567,Individual,0
27,1587.141477,5 years,24.954923,D4,4 years,debt_consolidation,657.1116202,Individual,0
28,513.9582601,3 years,10.32068604,B5,4 years,debt_consolidation,765.1859223,Individual,1
29,1166.412877,3 years,14.62657824,D1,2 years,debt_consolidation,677.1565303,Individual,0
30,1150.749142,3 years,23.91966969,A3,7 years,debt_consolidation,660.2389303,Individual,1
